,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_min_child_samples,param_min_child_weight,param_num_leaves,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0,0.4176337718963623,0.022571070892218114,0.009723842144012451,0.0022714831502349594,0.9501241488957805,301,0.1,28,0,100,0.9326466073236168,"{'colsample_bytree': 0.9501241488957805, 'min_child_samples': 301, 'min_child_weight': 0.1, 'num_leaves': 28, 'reg_alpha': 0, 'reg_lambda': 100, 'subsample': 0.9326466073236168}",-0.5312343209063393,-0.5295532944617433,-0.5849623949871954,-0.7076173178357805,-0.5883418320477647,0.07237993866584269,39
1,0.5447933673858643,0.09880981604491054,0.010970830917358398,0.002115490840141328,0.9731668400523877,171,1e-05,41,10,100,0.5575732396028996,"{'colsample_bytree': 0.9731668400523877, 'min_child_samples': 171, 'min_child_weight': 1e-05, 'num_leaves': 41, 'reg_alpha': 10, 'reg_lambda': 100, 'subsample': 0.5575732396028996}",-0.5147578322676921,-0.5311688087794998,-0.5245262781548952,-0.6728518998984881,-0.5608262047751438,0.06494092916495672,8
2,0.33535319566726685,0.02717991906506599,0.009225726127624512,0.0004317426885855514,0.7756038066515227,424,10000.0,30,0,100,0.9348658101450167,"{'colsample_bytree': 0.7756038066515227, 'min_child_samples': 424, 'min_child_weight': 10000.0, 'num_leaves': 30, 'reg_alpha': 0, 'reg_lambda': 100, 'subsample': 0.9348658101450167}",-0.5726457579600748,-0.5347127976299558,-0.6429734894250154,-0.7616639326383592,-0.6279989944133513,0.08639566902876593,47
3,0.42112404108047485,0.02701471418053069,0.0082283616065979,0.00043191505936742146,0.8196039247657971,422,1000.0,28,2,5,0.6649855489918759,"{'colsample_bytree': 0.8196039247657971, 'min_child_samples': 422, 'min_child_weight': 1000.0, 'num_leaves': 28, 'reg_alpha': 2, 'reg_lambda': 5, 'subsample': 0.6649855489918759}",-0.527895549700381,-0.5200005676328846,-0.6113336676975174,-0.7132114524569845,-0.5931103093719419,0.07802944087837503,42
4,0.44156986474990845,0.08360093252475433,0.011967778205871582,0.0039262269173138,0.8063232376017694,491,0.1,24,100,20,0.6564417745729645,"{'colsample_bytree': 0.8063232376017694, 'min_child_samples': 491, 'min_child_weight': 0.1, 'num_leaves': 24, 'reg_alpha': 100, 'reg_lambda': 20, 'subsample': 0.6564417745729645}",-0.524272126490671,-0.5260595844410215,-0.5619964267123319,-0.70004129159128,-0.5780923573088261,0.07199765317707492,29
5,0.33984124660491943,0.02224949776373943,0.008228063583374023,0.000431949165021651,0.6879091728281055,163,10.0,10,1,0.1,0.6775057521029393,"{'colsample_bytree': 0.6879091728281055, 'min_child_samples': 163, 'min_child_weight': 10.0, 'num_leaves': 10, 'reg_alpha': 1, 'reg_lambda': 0.1, 'subsample': 0.6775057521029393}",-0.5041625577064586,-0.5394856775570693,-0.5228376065279485,-0.6652347763199813,-0.5579301545278644,0.06319992480563384,5
6,0.4694945216178894,0.018756277896476818,0.010472118854522705,0.0038947299508547686,0.8754369812451743,372,10.0,44,1,0,0.568664015245299,"{'colsample_bytree': 0.8754369812451743, 'min_child_samples': 372, 'min_child_weight': 10.0, 'num_leaves': 44, 'reg_alpha': 1, 'reg_lambda': 0, 'subsample': 0.568664015245299}",-0.5315890327949756,-0.5186577801241333,-0.5516839447762846,-0.7054302862572503,-0.5768402609881609,0.07516832706755824,28
7,0.42187219858169556,0.026121786917694755,0.010222017765045166,0.001780228347790702,0.404828563763895,350,0.001,36,1,5,0.9274016358891894,"{'colsample_bytree': 0.404828563763895, 'min_child_samples': 350, 'min_child_weight': 0.001, 'num_leaves': 36, 'reg_alpha': 1, 'reg_lambda': 5, 'subsample': 0.9274016358891894}",-0.5025387083154468,-0.5125509974353761,-0.5581510345082971,-0.6956012005110113,-0.5672104851925328,0.07703302498442638,15
8,0.3595390319824219,0.019448194748877174,0.008975744247436523,0.00141065508765872,0.7271985991098294,212,0.01,13,0.1,5,0.44782056066342807,"{'colsample_bytree': 0.7271985991098294, 'min_child_samples': 212, 'min_child_weight': 0.01, 'num_leaves': 13, 'reg_alpha': 0.1, 'reg_lambda': 5, 'subsample': 0.44782056066342807}",-0.5084054503702353,-0.5437517314497902,-0.5390009352990742,-0.6680969253833712,-0.5648137606256177,0.06115394634156242,12
9,0.3582918643951416,0.021626197111705547,0.007978498935699463,0.0007057068994289548,0.55607546409401,103,10.0,22,2,1,0.8939112927620336,"{'colsample_bytree': 0.55607546409401, 'min_child_samples': 103, 'min_child_weight': 10.0, 'num_leaves': 22, 'reg_alpha': 2, 'reg_lambda': 1, 'subsample': 0.8939112927620336}",-0.4977708083270568,-0.5268299378363254,-0.5210173179323885,-0.6659224513186338,-0.5528851288536011,0.0661616485379244,1
10,0.4582750201225281,0.06129524254350568,0.009723544120788574,0.0014745201536103892,0.4893610123694421,325,0.001,44,7,20,0.3338474163716765,"{'colsample_bytree': 0.4893610123694421, 'min_child_samples': 325, 'min_child_weight': 0.001, 'num_leaves': 44, 'reg_alpha': 7, 'reg_lambda': 20, 'subsample': 0.3338474163716765}",-0.5032099720737009,-0.5149757264313157,-0.5538502152489028,-0.6875701016185233,-0.5649015038431107,0.07326005767470878,13
11,0.4231190085411072,0.04279436328183249,0.010222315788269043,0.0012953650292269947,0.6727151680755645,404,0.001,31,5,10,0.7622408988748248,"{'colsample_bytree': 0.6727151680755645, 'min_child_samples': 404, 'min_child_weight': 0.001, 'num_leaves': 31, 'reg_alpha': 5, 'reg_lambda': 10, 'subsample': 0.7622408988748248}",-0.5050310743794628,-0.5124776798517974,-0.5796777449761571,-0.6901471989423187,-0.571833424537434,0.07423836776036026,25
12,0.3872146010398865,0.022549552398550384,0.011220037937164307,0.0010868703039027437,0.446235782340401,313,10.0,31,2,10,0.9969185790275723,"{'colsample_bytree': 0.446235782340401, 'min_child_samples': 313, 'min_child_weight': 10.0, 'num_leaves': 31, 'reg_alpha': 2, 'reg_lambda': 10, 'subsample': 0.9969185790275723}",-0.5010195970800406,-0.5142743381173835,-0.5544022183369043,-0.6928097020435647,-0.5656264638944732,0.07601422205059558,14
13,0.3493160009384155,0.03248944004423723,0.00922536849975586,0.0004323622822338642,0.9818668822057625,235,10000.0,20,1,100,0.4735867391067407,"{'colsample_bytree': 0.9818668822057625, 'min_child_samples': 235, 'min_child_weight': 10000.0, 'num_leaves': 20, 'reg_alpha': 1, 'reg_lambda': 100, 'subsample': 0.4735867391067407}",-0.5747132269170381,-0.5343447489497763,-0.6430400143193575,-0.7640042736217589,-0.6290255659519828,0.08707747063232943,49
14,0.3567960858345032,0.08078490111181151,0.007978618144989014,1.97686242482388e-07,0.4250155532986693,133,1000.0,12,5,50,0.9109517224525399,"{'colsample_bytree': 0.4250155532986693, 'min_child_samples': 133, 'min_child_weight': 1000.0, 'num_leaves': 12, 'reg_alpha': 5, 'reg_lambda': 50, 'subsample': 0.9109517224525399}",-0.5156536042844347,-0.5039422822390235,-0.6016075178332033,-0.722090620001471,-0.5858235060895332,0.08724421370384368,35
15,0.44755351543426514,0.024746457007793324,0.009474754333496094,0.0004986525294372011,0.541999392404749,430,10.0,44,1,100,0.7653033041096617,"{'colsample_bytree': 0.541999392404749, 'min_child_samples': 430, 'min_child_weight': 10.0, 'num_leaves': 44, 'reg_alpha': 1, 'reg_lambda': 100, 'subsample': 0.7653033041096617}",-0.5060487671167169,-0.510501930298652,-0.5788102343605569,-0.690118007983377,-0.5713697349398257,0.07437780559689734,23
16,0.33510446548461914,0.026093426029098334,0.00847715139389038,0.0004988313077356173,0.5645098230355559,250,100.0,12,0,100,0.8265673984661308,"{'colsample_bytree': 0.5645098230355559, 'min_child_samples': 250, 'min_child_weight': 100.0, 'num_leaves': 12, 'reg_alpha': 0, 'reg_lambda': 100, 'subsample': 0.8265673984661308}",-0.5030117016012428,-0.5313515569769651,-0.5613721648781824,-0.6901763775639645,-0.5714779502550887,0.07157024204570898,24
17,0.44880008697509766,0.09341702567915407,0.009724617004394531,0.001780236806335457,0.8885216205885169,157,0.1,17,0,50,0.3357756717412073,"{'colsample_bytree': 0.8885216205885169, 'min_child_samples': 157, 'min_child_weight': 0.1, 'num_leaves': 17, 'reg_alpha': 0, 'reg_lambda': 50, 'subsample': 0.3357756717412073}",-0.5135694491428606,-0.5290182021243057,-0.5189851166855047,-0.6700464748661324,-0.5579048107047009,0.0649818356610892,4
18,0.41738420724868774,0.023648694140657418,0.012217342853546143,0.0034094238919962884,0.5748561875650441,148,100.0,33,50,5,0.5431696497636938,"{'colsample_bytree': 0.5748561875650441, 'min_child_samples': 148, 'min_child_weight': 100.0, 'num_leaves': 33, 'reg_alpha': 50, 'reg_lambda': 5, 'subsample': 0.5431696497636938}",-0.5004527480920277,-0.5320681216094579,-0.5158759528733542,-0.677557166381191,-0.5564884972390076,0.07078728935349765,3
19,0.4560306668281555,0.013736306171860526,0.00847715139389038,0.0004985929176754634,0.952164731370897,111,0.01,38,0,0.1,0.3029313662262354,"{'colsample_bytree': 0.952164731370897, 'min_child_samples': 111, 'min_child_weight': 0.01, 'num_leaves': 38, 'reg_alpha': 0, 'reg_lambda': 0.1, 'subsample': 0.3029313662262354}",-0.5235712334166029,-0.5233823819552872,-0.516499739522135,-0.6816275404724648,-0.5612702238416225,0.0695467151895903,9
20,0.3754962682723999,0.08451021268178699,0.007978737354278564,4.256623046721727e-07,0.6377497065362651,323,0.1,10,100,0.1,0.9071147321063562,"{'colsample_bytree': 0.6377497065362651, 'min_child_samples': 323, 'min_child_weight': 0.1, 'num_leaves': 10, 'reg_alpha': 100, 'reg_lambda': 0.1, 'subsample': 0.9071147321063562}",-0.4994252376015363,-0.5254657505337101,-0.5662362458542058,-0.6896601385846579,-0.5701968431435276,0.07296686934082182,20
21,0.31989485025405884,0.015790732347165035,0.00847715139389038,0.002055577539499848,0.7792703648870174,344,0.01,10,0,10,0.8503048560728566,"{'colsample_bytree': 0.7792703648870174, 'min_child_samples': 344, 'min_child_weight': 0.01, 'num_leaves': 10, 'reg_alpha': 0, 'reg_lambda': 10, 'subsample': 0.8503048560728566}",-0.5325264616826189,-0.5232548706411085,-0.5734337442383516,-0.7079344118931283,-0.5842873721138018,0.07384197615335121,34
22,0.4009283781051636,0.024983473443976497,0.011469244956970215,0.002285450818001213,0.8855136900907483,390,100.0,19,100,20,0.6921778551417104,"{'colsample_bytree': 0.8855136900907483, 'min_child_samples': 390, 'min_child_weight': 100.0, 'num_leaves': 19, 'reg_alpha': 100, 'reg_lambda': 20, 'subsample': 0.6921778551417104}",-0.5265960531983123,-0.5287508084856898,-0.546173631209809,-0.6719406703940677,-0.5683652908219696,0.0602791535945039,16
