,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_min_child_samples,param_min_child_weight,param_num_leaves,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0,0.44530922174453735,0.021912912088261075,0.013713717460632324,0.0008270833034030831,0.9501241488957805,301,0.1,28,0,100,0.9326466073236168,"{'colsample_bytree': 0.9501241488957805, 'min_child_samples': 301, 'min_child_weight': 0.1, 'num_leaves': 28, 'reg_alpha': 0, 'reg_lambda': 100, 'subsample': 0.9326466073236168}",-0.554386462427812,-0.5298957847043241,-0.4566531616738271,-0.6504416859194158,-0.5478442736813447,0.06929465419004006,29
1,0.5400557518005371,0.09128019262895426,0.013214588165283203,0.0021593592624141443,0.9731668400523877,171,1e-05,41,10,100,0.5575732396028996,"{'colsample_bytree': 0.9731668400523877, 'min_child_samples': 171, 'min_child_weight': 1e-05, 'num_leaves': 41, 'reg_alpha': 10, 'reg_lambda': 100, 'subsample': 0.5575732396028996}",-0.5406399825477908,-0.5068583639763803,-0.45313695852362923,-0.6447358335593749,-0.5363427846517939,0.0699286413522273,7
2,0.32338565587997437,0.03765767420689245,0.010471940040588379,0.0008641043953355433,0.7756038066515227,424,10000.0,30,0,100,0.9348658101450167,"{'colsample_bytree': 0.7756038066515227, 'min_child_samples': 424, 'min_child_weight': 10000.0, 'num_leaves': 30, 'reg_alpha': 0, 'reg_lambda': 100, 'subsample': 0.9348658101450167}",-0.5349019296950339,-0.6426653295278396,-0.5251676053184623,-0.7612055376520632,-0.6159851005483498,0.0956858244548928,48
3,0.46151649951934814,0.030911981501551136,0.015209436416625977,0.0010866647925013918,0.8196039247657971,422,1000.0,28,2,5,0.6649855489918759,"{'colsample_bytree': 0.8196039247657971, 'min_child_samples': 422, 'min_child_weight': 1000.0, 'num_leaves': 28, 'reg_alpha': 2, 'reg_lambda': 5, 'subsample': 0.6649855489918759}",-0.5298410994660777,-0.5794057742991022,-0.48240750113006503,-0.6835248441960557,-0.5687948047728252,0.07459177569969593,41
4,0.44057196378707886,0.08544356643709257,0.015209615230560303,0.003261129269035079,0.8063232376017694,491,0.1,24,100,20,0.6564417745729645,"{'colsample_bytree': 0.8063232376017694, 'min_child_samples': 491, 'min_child_weight': 0.1, 'num_leaves': 24, 'reg_alpha': 100, 'reg_lambda': 20, 'subsample': 0.6564417745729645}",-0.5554874328641745,-0.5561290808331059,-0.4689805506783253,-0.6672054995775198,-0.5619506409882814,0.0703521260708904,38
5,0.32363462448120117,0.026183810029915284,0.010223209857940674,0.0010869792918337747,0.6879091728281055,163,10.0,10,1,0.1,0.6775057521029393,"{'colsample_bytree': 0.6879091728281055, 'min_child_samples': 163, 'min_child_weight': 10.0, 'num_leaves': 10, 'reg_alpha': 1, 'reg_lambda': 0.1, 'subsample': 0.6775057521029393}",-0.5621097833614176,-0.5005360089416059,-0.44813406954905405,-0.6351067279628478,-0.5364716474537313,0.06978733929804168,8
6,0.5143752694129944,0.032771420520707834,0.012964785099029541,0.002543106207110147,0.8754369812451743,372,10.0,44,1,0,0.568664015245299,"{'colsample_bytree': 0.8754369812451743, 'min_child_samples': 372, 'min_child_weight': 10.0, 'num_leaves': 44, 'reg_alpha': 1, 'reg_lambda': 0, 'subsample': 0.568664015245299}",-0.5408519114392584,-0.5378268149151153,-0.4648301381565997,-0.6584327158937374,-0.5504853951011777,0.06935865261148913,32
7,0.4438130855560303,0.09149148280559491,0.016707658767700195,0.003338997813030063,0.404828563763895,350,0.001,36,1,5,0.9274016358891894,"{'colsample_bytree': 0.404828563763895, 'min_child_samples': 350, 'min_child_weight': 0.001, 'num_leaves': 36, 'reg_alpha': 1, 'reg_lambda': 5, 'subsample': 0.9274016358891894}",-0.5540150481343672,-0.5202970750828307,-0.4487939117305939,-0.6462944342027871,-0.5423501172876447,0.07102744522248922,15
8,0.3383464813232422,0.03198040843573574,0.01047205924987793,0.0011160351531755066,0.7271985991098294,212,0.01,13,0.1,5,0.44782056066342807,"{'colsample_bytree': 0.7271985991098294, 'min_child_samples': 212, 'min_child_weight': 0.01, 'num_leaves': 13, 'reg_alpha': 0.1, 'reg_lambda': 5, 'subsample': 0.44782056066342807}",-0.5780629610297119,-0.5108145422398078,-0.45051998382670544,-0.642087787831372,-0.5453713187318994,0.07178747349994112,22
9,0.35180938243865967,0.027398369559883142,0.01196819543838501,0.001577593852175343,0.55607546409401,103,10.0,22,2,1,0.8939112927620336,"{'colsample_bytree': 0.55607546409401, 'min_child_samples': 103, 'min_child_weight': 10.0, 'num_leaves': 22, 'reg_alpha': 2, 'reg_lambda': 1, 'subsample': 0.8939112927620336}",-0.5565556031972777,-0.48206326511397435,-0.4399345737016584,-0.6321478007641025,-0.5276753106942532,0.07336120927724021,2
10,0.43558502197265625,0.01887548023083938,0.014461636543273926,0.002685547036393964,0.4893610123694421,325,0.001,44,7,20,0.3338474163716765,"{'colsample_bytree': 0.4893610123694421, 'min_child_samples': 325, 'min_child_weight': 0.001, 'num_leaves': 44, 'reg_alpha': 7, 'reg_lambda': 20, 'subsample': 0.3338474163716765}",-0.5501725796624733,-0.5187776921339424,-0.4468422306213203,-0.6407926748181965,-0.5391462943089831,0.06962127147492635,13
