,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_min_child_samples,param_min_child_weight,param_num_leaves,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0,0.431346595287323,0.03007351670548879,0.010970830917358398,0.001577706885259407,0.9501241488957805,301,0.1,28,0,100,0.9326466073236168,"{'colsample_bytree': 0.9501241488957805, 'min_child_samples': 301, 'min_child_weight': 0.1, 'num_leaves': 28, 'reg_alpha': 0, 'reg_lambda': 100, 'subsample': 0.9326466073236168}",-0.5295532944617433,-0.5312343209063393,-0.5849623949871954,-0.7076173178357805,-0.5883418320477647,0.07237993866584269,39
1,0.5522732138633728,0.10354594899561277,0.010721445083618164,0.0008271192900897417,0.9731668400523877,171,1e-05,41,10,100,0.5575732396028996,"{'colsample_bytree': 0.9731668400523877, 'min_child_samples': 171, 'min_child_weight': 1e-05, 'num_leaves': 41, 'reg_alpha': 10, 'reg_lambda': 100, 'subsample': 0.5575732396028996}",-0.5311688087794998,-0.5147578322676921,-0.5245262781548952,-0.6728518998984881,-0.5608262047751438,0.06494092916495672,8
2,0.3348545432090759,0.0350302383189285,0.009973466396331787,0.000705285405798105,0.7756038066515227,424,10000.0,30,0,100,0.9348658101450167,"{'colsample_bytree': 0.7756038066515227, 'min_child_samples': 424, 'min_child_weight': 10000.0, 'num_leaves': 30, 'reg_alpha': 0, 'reg_lambda': 100, 'subsample': 0.9348658101450167}",-0.5347127976299558,-0.5726457579600748,-0.6429734894250154,-0.7616639326383592,-0.6279989944133513,0.08639566902876593,47
3,0.4293519854545593,0.02078359524359822,0.010471880435943604,0.0014961362003800423,0.8196039247657971,422,1000.0,28,2,5,0.6649855489918759,"{'colsample_bytree': 0.8196039247657971, 'min_child_samples': 422, 'min_child_weight': 1000.0, 'num_leaves': 28, 'reg_alpha': 2, 'reg_lambda': 5, 'subsample': 0.6649855489918759}",-0.5200005676328846,-0.527895549700381,-0.6113336676975174,-0.7132114524569845,-0.5931103093719419,0.07802944087837503,42
4,0.41788333654403687,0.05041721624397691,0.0112190842628479,0.000826454583100546,0.8063232376017694,491,0.1,24,100,20,0.6564417745729645,"{'colsample_bytree': 0.8063232376017694, 'min_child_samples': 491, 'min_child_weight': 0.1, 'num_leaves': 24, 'reg_alpha': 100, 'reg_lambda': 20, 'subsample': 0.6564417745729645}",-0.5260595844410215,-0.524272126490671,-0.5619964267123319,-0.70004129159128,-0.5780923573088261,0.07199765317707492,29
5,0.3333588242530823,0.023404397543528986,0.007978677749633789,0.0009975433492067894,0.6879091728281055,163,10.0,10,1,0.1,0.6775057521029393,"{'colsample_bytree': 0.6879091728281055, 'min_child_samples': 163, 'min_child_weight': 10.0, 'num_leaves': 10, 'reg_alpha': 1, 'reg_lambda': 0.1, 'subsample': 0.6775057521029393}",-0.5394856775570693,-0.5041625577064586,-0.5228376065279485,-0.6652347763199813,-0.5579301545278644,0.06319992480563384,5
6,0.4650067090988159,0.022361106007406435,0.009972989559173584,0.0014109079246720088,0.8754369812451743,372,10.0,44,1,0,0.568664015245299,"{'colsample_bytree': 0.8754369812451743, 'min_child_samples': 372, 'min_child_weight': 10.0, 'num_leaves': 44, 'reg_alpha': 1, 'reg_lambda': 0, 'subsample': 0.568664015245299}",-0.5186577801241333,-0.5315890327949756,-0.5516839447762846,-0.7054302862572503,-0.5768402609881609,0.07516832706755824,28
7,0.44131988286972046,0.07037587709941363,0.011220157146453857,0.002578843131299256,0.404828563763895,350,0.001,36,1,5,0.9274016358891894,"{'colsample_bytree': 0.404828563763895, 'min_child_samples': 350, 'min_child_weight': 0.001, 'num_leaves': 36, 'reg_alpha': 1, 'reg_lambda': 5, 'subsample': 0.9274016358891894}",-0.5125509974353761,-0.5025387083154468,-0.5581510345082971,-0.6956012005110113,-0.5672104851925328,0.07703302498442638,15
8,0.3538040518760681,0.027668962987131,0.007978379726409912,0.0009972453295496971,0.7271985991098294,212,0.01,13,0.1,5,0.44782056066342807,"{'colsample_bytree': 0.7271985991098294, 'min_child_samples': 212, 'min_child_weight': 0.01, 'num_leaves': 13, 'reg_alpha': 0.1, 'reg_lambda': 5, 'subsample': 0.44782056066342807}",-0.5437517314497902,-0.5084054503702353,-0.5390009352990742,-0.6680969253833712,-0.5648137606256177,0.06115394634156242,12
9,0.3622815012931824,0.022768272745083622,0.008477270603179932,0.0004989507448685369,0.55607546409401,103,10.0,22,2,1,0.8939112927620336,"{'colsample_bytree': 0.55607546409401, 'min_child_samples': 103, 'min_child_weight': 10.0, 'num_leaves': 22, 'reg_alpha': 2, 'reg_lambda': 1, 'subsample': 0.8939112927620336}",-0.5268299378363254,-0.4977708083270568,-0.5210173179323885,-0.6659224513186338,-0.5528851288536011,0.0661616485379244,1
10,0.4438135623931885,0.04336316870039261,0.01022273302078247,0.001087362244928817,0.4893610123694421,325,0.001,44,7,20,0.3338474163716765,"{'colsample_bytree': 0.4893610123694421, 'min_child_samples': 325, 'min_child_weight': 0.001, 'num_leaves': 44, 'reg_alpha': 7, 'reg_lambda': 20, 'subsample': 0.3338474163716765}",-0.5149757264313157,-0.5032099720737009,-0.5538502152489028,-0.6875701016185233,-0.5649015038431107,0.07326005767470878,13
