cv_fraction,lr_rmse,lr_r2,lgb_rmse,lgb_r2,mix_rmse,mix_r2,alfa
1.0,1.1074937007803112,0.04981638422425805,0.9164518163159208,0.3493547244440983,0.9164518163159208,0.3493547244440983,1.0
0.1,0.6297707611580845,0.5351510521599959,0.5810707273254602,0.6042646372711169,0.5810707273254602,0.6042646372711169,1.0
0.1,0.6297707421394629,0.5351510802361996,0.5810707273254602,0.6042646372711169,0.5810707273254602,0.6042646372711169,1.0
0.1,0.6299776319449367,0.534845609393385,0.5842452299558663,0.5999288671303897,0.5842452299558663,0.5999288671303897,1.0
1.0,1.1066475604396615,0.051267736152647014,0.9262502855243478,0.3353672800998462,0.9262502855243478,0.3353672800998462,1.0
0.1,0.6297103979213982,0.5352401590034177,0.5844346269134172,0.5996694399817499,0.5844346269134172,0.5996694399817499,1.0
0.1,0.6316677587366402,0.5323463953246563,0.5796407410800489,0.6062100107955246,0.5796407410800489,0.6062100107955246,1.0
1.0,1.1113170460703587,0.043244516854110134,0.9277983171442667,0.3331438373574567,0.9277983171442667,0.3331438373574567,1.0
0.1,0.6297707416401432,0.5351510809733193,0.5810707273254602,0.6042646372711169,0.5810707273254602,0.6042646372711169,1.0
0.1,0.6294439982609745,0.5356333101244968,0.5803365560380616,0.6052640130196183,0.5803365560380616,0.6052640130196183,1.0
1.0,1.1076307943119024,0.049581128547474096,0.9172644957209886,0.3482002710354002,0.9172644957209886,0.3482002710354002,1.0
1.0,1.107491005807689,0.04982100856787852,0.9164518163159208,0.3493547244440983,0.9164518163159208,0.3493547244440983,1.0
0.1,0.6297707520903723,0.5351510655461889,0.5970431515232282,0.5822097433444804,0.5953096017264353,0.5846323781127813,0.8190000000000001
0.1,0.6297707503176169,0.5351510681632157,0.5885520461872749,0.5940088064919588,0.5885506222170347,0.5940107710375983,0.9940000000000001
1.0,1.1074950897291445,0.049814000901894695,0.9267006859979564,0.3347207514498577,0.9267006859979564,0.3347207514498577,1.0
0.1,0.6061115842838881,0.5694218034176239,0.5812998681646221,0.6039524652474673,0.5812998681646221,0.6039524652474673,1.0
1.0,0.9519126551310636,0.2980289379797673,0.9164518163159208,0.3493547244440983,0.9149668761210652,0.3514615162164155,0.8340000000000001
1.0,0.958502465547506,0.2882762197859191,0.9164518163159208,0.3493547244440983,0.915423663461257,0.3508138028945338,0.867
1.0,0.9667743186275124,0.2759388951061884,0.9164518163159208,0.3493547244440983,0.9163209429608858,0.34954054119645583,0.9520000000000001
1.0,0.9587830484992192,0.2878594722134841,0.9164518163159208,0.3493547244440983,0.9158876573269256,0.3501555399212053,0.898
0.1,0.6087644909082525,0.5656443352865518,0.5896142717453925,0.5925420088103546,0.5892628259703603,0.5930276032697065,0.882
0.1,0.6116761279589082,0.5614794719431364,0.5896142717453925,0.5925420088103546,0.5892130788755132,0.5930963156979507,0.883
0.1,0.6048770079842962,0.5711740888597935,0.5834941569208661,0.6009568241687506,0.5834941569208661,0.6009568241687506,1.0
0.1,0.9955823297412778,-0.1617193551606977,0.5834941569208661,0.6009568241687506,0.5834941569208661,0.6009568241687506,1.0
0.1,0.605121478950496,0.5708273847565316,0.5810707273254602,0.6042646372711169,0.5810707273254602,0.6042646372711169,1.0
0.5,0.5741411148973306,0.6024066790492242,0.554268392577345,0.6294541015133189,0.554268392577345,0.6294541015133189,1.0
0.1,0.606885270807761,0.5683218568910662,0.5896142717453925,0.5925420088103546,0.5893143725983222,0.5929563991436579,0.885
0.1,0.6198479879604849,0.5496841254259871,0.5834587777488849,0.601005213305037,0.5834587777488849,0.601005213305037,1.0
0.1,0.6050659830040432,0.5709061003505198,0.5841082100421015,0.6001164982183733,0.5841082100421015,0.6001164982183733,1.0
0.1,0.6228845648909995,0.5452612080308623,0.5900649257640181,0.591918914142654,0.5894364206540961,0.5927877827762245,0.8809999999999999
0.1,0.6049560758357341,0.5710619716556051,0.5810707273254602,0.6042646372711169,0.5810707273254602,0.6042646372711169,1.0
